NIS;Naam;Inwoners
01000;België;11.376.070
02000;Vlaams Gewest;6.552.967
03000;Waals Gewest;3.624.377
04000;Brussels Hoofdstedelijk Gewest;1.198.726
10000;Provincie Antwerpen;1.847.486
11000;Arrondissement Antwerpen;1.045.593
11001;Aartselaar;14.304
11002;Antwerpen;523.248
11004;Boechout;13.120
11005;Boom;17.970
11007;Borsbeek;10.685
11008;Brasschaat;37.850
11009;Brecht;29.010
11013;Edegem;21.947
11016;Essen;19.079
11018;Hemiksem;11.368
11021;Hove (Antwerpen);8.115
11022;Kalmthout;18.608
11023;Kapellen (Antwerpen);26.771
11024;Kontich;21.074
11025;Lint;8.787
11029;Mortsel;25.824
11030;Niel;10.424
11035;Ranst;18.981
11037;Rumst;15.114
11038;Schelle;8.433
11039;Schilde;19.585
11040;Schoten;34.462
11044;Stabroek;18.529
11050;Wijnegem;9.711
11052;Wommelgem;12.893
11053;Wuustwezel;20.671
11054;Zandhoven;12.985
11055;Zoersel;21.739
11056;Zwijndrecht;19.002
11057;Malle;15.304
12000;Arrondissement Mechelen;342.945
12002;Berlaar;11.507
12005;Bonheiden;14.951
12007;Bornem;21.186
12009;Duffel;17.385
12014;Heist-op-den-Berg;42.478
12021;Lier;35.712
12025;Mechelen;86.304
12026;Nijlen;22.813
12029;Putte;17.584
12035;Sint-Katelijne-Waver;20.870
12040;Willebroek;26.223
12041;Puurs-Sint-Amands;25.932
13000;Arrondissement Turnhout;458.948
13001;Arendonk;13.281
13002;Baarle-Hertog;2.705
13003;Balen;22.426
13004;Beerse;17.931
13006;Dessel;9.540
13008;Geel;39.923
13010;Grobbendonk;11.123
13011;Herentals;28.117
13012;Herenthout;8.951
13013;Herselt;14.537
13014;Hoogstraten;21.333
13016;Hulshout;10.382
13017;Kasterlee;18.600
13019;Lille;16.512
13021;Meerhout;10.326
13023;Merksplas;8.619
13025;Mol;36.544
13029;Olen;12.491
13031;Oud-Turnhout;13.517
13035;Ravels;14.871
13036;Retie;11.240
13037;Rijkevorsel;11.932
13040;Turnhout;44.136
13044;Vorselaar;7.848
13046;Vosselaar;11.159
13049;Westerlo;24.884
13053;Laakdal;16.020
20001;Provincie Vlaams-Brabant;1.138.489
20002;Provincie Waals-Brabant;401.106
21000;Arrondissement Brussel-Hoofdstad;1.198.726
21001;Anderlecht;118.382
21002;Oudergem;33.740
21003;Sint-Agatha-Berchem;24.830
21004;Brussel;179.277
21005;Etterbeek;47.786
21006;Evere;41.131
21007;Vorst (Brussel-Hoofdstad);56.008
21008;Ganshoren;24.865
21009;Elsene;86.513
21010;Jette;52.201
21011;Koekelberg;21.774
21012;Sint-Jans-Molenbeek;97.005
21013;Sint-Gillis;50.002
21014;Sint-Joost-ten-Node;27.032
21015;Schaarbeek;133.010
21016;Ukkel;82.275
21017;Watermaal-Bosvoorde;25.012
21018;Sint-Lambrechts-Woluwe;56.303
21019;Sint-Pieters-Woluwe;41.580
23000;Arrondissement Halle-Vilvoorde;632.134
23002;Asse;32.958
23003;Beersel;25.069
23009;Bever;2.204
23016;Dilbeek;42.434
23023;Galmaarden;8.725
23024;Gooik;9.236
23025;Grimbergen;37.355
23027;Halle (Halle-Vilvoorde);39.096
23032;Herne;6.643
23033;Hoeilaart;11.172
23038;Kampenhout;11.898
23039;Kapelle-op-den-Bos;9.396
23044;Liedekerke;13.188
23045;Londerzeel;18.620
23047;Machelen (Halle-Vilvoorde);15.417
23050;Meise;19.164
23052;Merchtem;16.294
23060;Opwijk;14.378
23062;Overijse;25.169
23064;Pepingen;4.372
23077;Sint-Pieters-Leeuw;34.038
23081;Steenokkerzeel;12.090
23086;Ternat;15.481
23088;Vilvoorde;44.015
23094;Zaventem;33.806
23096;Zemst;23.325
23097;Roosdaal;11.629
23098;Drogenbos;5.599
23099;Kraainem;13.690
23100;Linkebeek;4.760
23101;Sint-Genesius-Rode;18.296
23102;Wemmel;16.347
23103;Wezembeek-Oppem;14.021
23104;Lennik;9.024
23105;Affligem;13.225
24000;Arrondissement Leuven;506.355
24001;Aarschot;29.965
24007;Begijnendijk;10.053
24008;Bekkevoort;6.274
24009;Bertem;9.958
24011;Bierbeek;10.025
24014;Boortmeerbeek;12.379
24016;Boutersem;8.167
24020;Diest;23.824
24028;Geetbets;6.035
24033;Haacht;14.470
24038;Herent;21.632
24041;Hoegaarden;6.942
24043;Holsbeek;9.905
24045;Huldenberg;9.892
24048;Keerbergen;12.743
24054;Kortenaken;7.875
24055;Kortenberg;20.214
24059;Landen;15.961
24062;Leuven;101.396
24066;Lubbeek;14.393
24086;Oud-Heverlee;11.099
24094;Rotselaar;16.678
24104;Tervuren;22.248
24107;Tienen;34.675
24109;Tremelo;14.842
24130;Zoutleeuw;8.498
24133;Linter;7.255
24134;Scherpenheuvel-Zichem;22.952
24135;Tielt-Winge;10.707
24137;Glabbeek;5.298
25000;Arrondissement Nijvel;401.106
25005;Bevekom;7.222
25014;Eigenbrakel;39.837
25015;Kasteelbrakel;10.447
25018;Chaumont-Gistoux;11.731
25023;Court-Saint-Etienne;10.500
25031;Genepiën;15.353
25037;Graven;13.368
25043;Incourt;5.388
25044;Itter;6.865
25048;Geldenaken;14.079
25050;Terhulpen;7.320
25068;Mont-Saint-Guibert;7.562
25072;Nijvel;28.521
25084;Perwijs (Nijvel);9.291
25091;Rixensart;22.401
25105;Tubeke;25.914
25107;Villers-la-Ville;10.713
25110;Waterloo;30.174
25112;Waver;34.305
25117;Chastre;7.592
25118;Hélécine;3.479
25119;Lasne;14.236
25120;Orp-Jauche;8.856
25121;Ottignies-Louvain-la-Neuve;31.385
25122;Ramillies;6.394
25123;Rebecq;11.006
25124;Walhain;7.167
30000;Provincie West-Vlaanderen;1.191.059
31000;Arrondissement Brugge;281.780
31003;Beernem;15.687
31004;Blankenberge;20.349
31005;Brugge;118.284
31006;Damme;11.008
31012;Jabbeke;13.880
31022;Oostkamp;23.580
31033;Torhout;20.530
31040;Zedelgem;22.635
31042;Zuienkerke;2.730
31043;Knokke-Heist;33.097
32000;Arrondissement Diksmuide;51.428
32003;Diksmuide;16.739
32006;Houthulst;10.032
32010;Koekelare;8.784
32011;Kortemark;12.584
32030;Lo-Reninge;3.289
33000;Arrondissement Ieper;106.251
33011;Ieper;34.964
33016;Mesen;1.040
33021;Poperinge;19.718
33029;Wervik;18.643
33037;Zonnebeke;12.445
33039;Heuvelland;7.862
33040;Langemark-Poelkapelle;7.920
33041;Vleteren;3.659
34000;Arrondissement Kortrijk;289.114
34002;Anzegem;14.609
34003;Avelgem;10.065
34009;Deerlijk;11.796
34013;Harelbeke;27.886
34022;Kortrijk;76.265
34023;Kuurne;13.318
34025;Lendelede;5.742
