"MUNTY","REGION","PROVINCE","DISTRICT","CD_REFNIS"
"Aartselaar","Flanders","Antwerpen","Antwerpen",11001
"Antwerpen","Flanders","Antwerpen","Antwerpen",11002
"Boechout","Flanders","Antwerpen","Antwerpen",11004
"Boom","Flanders","Antwerpen","Antwerpen",11005
"Borsbeek","Flanders","Antwerpen","Antwerpen",11007
"Brasschaat","Flanders","Antwerpen","Antwerpen",11008
"Brecht","Flanders","Antwerpen","Antwerpen",11009
"Edegem","Flanders","Antwerpen","Antwerpen",11013
"Essen","Flanders","Antwerpen","Antwerpen",11016
"Hemiksem","Flanders","Antwerpen","Antwerpen",11018
"Hove (Antwerpen)","Flanders","Antwerpen","Antwerpen",11021
"Kalmthout","Flanders","Antwerpen","Antwerpen",11022
"Kapellen (Antwerpen)","Flanders","Antwerpen","Antwerpen",11023
"Kontich","Flanders","Antwerpen","Antwerpen",11024
"Lint","Flanders","Antwerpen","Antwerpen",11025
"Mortsel","Flanders","Antwerpen","Antwerpen",11029
"Niel","Flanders","Antwerpen","Antwerpen",11030
"Ranst","Flanders","Antwerpen","Antwerpen",11035
"Rumst","Flanders","Antwerpen","Antwerpen",11037
"Schelle","Flanders","Antwerpen","Antwerpen",11038
"Schilde","Flanders","Antwerpen","Antwerpen",11039
"Schoten","Flanders","Antwerpen","Antwerpen",11040
"Stabroek","Flanders","Antwerpen","Antwerpen",11044
"Wijnegem","Flanders","Antwerpen","Antwerpen",11050
"Wommelgem","Flanders","Antwerpen","Antwerpen",11052
"Wuustwezel","Flanders","Antwerpen","Antwerpen",11053
"Zandhoven","Flanders","Antwerpen","Antwerpen",11054
"Zoersel","Flanders","Antwerpen","Antwerpen",11055
"Zwijndrecht","Flanders","Antwerpen","Antwerpen",11056
"Malle","Flanders","Antwerpen","Antwerpen",11057
"Berlaar","Flanders","Antwerpen","Mechelen",12002
"Bonheiden","Flanders","Antwerpen","Mechelen",12005
"Bornem","Flanders","Antwerpen","Mechelen",12007
"Duffel","Flanders","Antwerpen","Mechelen",12009
"Heist-op-den-Berg","Flanders","Antwerpen","Mechelen",12014
"Lier","Flanders","Antwerpen","Mechelen",12021
"Mechelen","Flanders","Antwerpen","Mechelen",12025
"Nijlen","Flanders","Antwerpen","Mechelen",12026
"Putte","Flanders","Antwerpen","Mechelen",12029
"Sint-Katelijne-Waver","Flanders","Antwerpen","Mechelen",12035
"Willebroek","Flanders","Antwerpen","Mechelen",12040
"Puurs-Sint-Amands","Flanders","Antwerpen","Mechelen",12041
"Arendonk","Flanders","Antwerpen","Turnhout",13001
"Baarle-Hertog","Flanders","Antwerpen","Turnhout",13002
"Balen","Flanders","Antwerpen","Turnhout",13003
"Beerse","Flanders","Antwerpen","Turnhout",13004
"Dessel","Flanders","Antwerpen","Turnhout",13006
"Geel","Flanders","Antwerpen","Turnhout",13008
"Grobbendonk","Flanders","Antwerpen","Turnhout",13010
"Herentals","Flanders","Antwerpen","Turnhout",13011
"Herenthout","Flanders","Antwerpen","Turnhout",13012
"Herselt","Flanders","Antwerpen","Turnhout",13013
