"AGEGROUP","SEX","DISTRICT","POPULATION","REGION","PROVINCE","CD_DSTR_REFNIS"
"0-9","F","Aalst",14949,"Flanders","Oost-Vlaanderen",41000
"10-19","F","Aalst",15631,"Flanders","Oost-Vlaanderen",41000
"20-29","F","Aalst",15948,"Flanders","Oost-Vlaanderen",41000
"30-39","F","Aalst",18415,"Flanders","Oost-Vlaanderen",41000
"40-49","F","Aalst",19574,"Flanders","Oost-Vlaanderen",41000
"50-59","F","Aalst",21536,"Flanders","Oost-Vlaanderen",41000
"60-69","F","Aalst",18071,"Flanders","Oost-Vlaanderen",41000
"70-79","F","Aalst",13282,"Flanders","Oost-Vlaanderen",41000
"80-89","F","Aalst",9654,"Flanders","Oost-Vlaanderen",41000
"90+","F","Aalst",2263,"Flanders","Oost-Vlaanderen",41000
"All","F","Aalst",149323,"Flanders","Oost-Vlaanderen",41000
"0-9","M","Aalst",15805,"Flanders","Oost-Vlaanderen",41000
"10-19","M","Aalst",16423,"Flanders","Oost-Vlaanderen",41000
"20-29","M","Aalst",16096,"Flanders","Oost-Vlaanderen",41000
"30-39","M","Aalst",17806,"Flanders","Oost-Vlaanderen",41000
"40-49","M","Aalst",20065,"Flanders","Oost-Vlaanderen",41000
"50-59","M","Aalst",21903,"Flanders","Oost-Vlaanderen",41000
"60-69","M","Aalst",18001,"Flanders","Oost-Vlaanderen",41000
"70-79","M","Aalst",11517,"Flanders","Oost-Vlaanderen",41000
"80-89","M","Aalst",5887,"Flanders","Oost-Vlaanderen",41000
"90+","M","Aalst",824,"Flanders","Oost-Vlaanderen",41000
"All","M","Aalst",144327,"Flanders","Oost-Vlaanderen",41000
"0-9","All","Aalst",30754,"Flanders","Oost-Vlaanderen",41000
"10-19","All","Aalst",32054,"Flanders","Oost-Vlaanderen",41000
"20-29","All","Aalst",32044,"Flanders","Oost-Vlaanderen",41000
"30-39","All","Aalst",36221,"Flanders","Oost-Vlaanderen",41000
"40-49","All","Aalst",39639,"Flanders","Oost-Vlaanderen",41000
"50-59","All","Aalst",43439,"Flanders","Oost-Vlaanderen",41000
"60-69","All","Aalst",36072,"Flanders","Oost-Vlaanderen",41000
"70-79","All","Aalst",24799,"Flanders","Oost-Vlaanderen",41000
"80-89","All","Aalst",15541,"Flanders","Oost-Vlaanderen",41000
"90+","All","Aalst",3087,"Flanders","Oost-Vlaanderen",41000
"All","All","Aalst",293650,"Flanders","Oost-Vlaanderen",41000
"0-9","F","Antwerpen",61388,"Flanders","Antwerpen",11000
"10-19","F","Antwerpen",57794,"Flanders","Antwerpen",11000
"20-29","F","Antwerpen",66090,"Flanders","Antwerpen",11000
"30-39","F","Antwerpen",71104,"Flanders","Antwerpen",11000
"40-49","F","Antwerpen",65173,"Flanders","Antwerpen",11000
"50-59","F","Antwerpen",68955,"Flanders","Antwerpen",11000
"60-69","F","Antwerpen",60008,"Flanders","Antwerpen",11000
"70-79","F","Antwerpen",44810,"Flanders","Antwerpen",11000
"80-89","F","Antwerpen",30291,"Flanders","Antwerpen",11000
"90+","F","Antwerpen",7803,"Flanders","Antwerpen",11000
"All","F","Antwerpen",533416,"Flanders","Antwerpen",11000
"0-9","M","Antwerpen",64207,"Flanders","Antwerpen",11000
"10-19","M","Antwerpen",60666,"Flanders","Antwerpen",11000
"20-29","M","Antwerpen",67029,"Flanders","Antwerpen",11000
"30-39","M","Antwerpen",71690,"Flanders","Antwerpen",11000
"40-49","M","Antwerpen",67707,"Flanders","Antwerpen",11000
"50-59","M","Antwerpen",71356,"Flanders","Antwerpen",11000
"60-69","M","Antwerpen",58446,"Flanders","Antwerpen",11000
"70-79","M","Antwerpen",38923,"Flanders","Antwerpen",11000
"80-89","M","Antwerpen",20872,"Flanders","Antwerpen",11000
"90+","M","Antwerpen",3424,"Flanders","Antwerpen",11000
"All","M","Antwerpen",524320,"Flanders","Antwerpen",11000
"0-9","All","Antwerpen",125595,"Flanders","Antwerpen",11000
"10-19","All","Antwerpen",118460,"Flanders","Antwerpen",11000
"20-29","All","Antwerpen",133119,"Flanders","Antwerpen",11000
"30-39","All","Antwerpen",142794,"Flanders","Antwerpen",11000
"40-49","All","Antwerpen",132880,"Flanders","Antwerpen",11000
"50-59","All","Antwerpen",140311,"Flanders","Antwerpen",11000
"60-69","All","Antwerpen",118454,"Flanders","Antwerpen",11000
"70-79","All","Antwerpen",83733,"Flanders","Antwerpen",11000
"80-89","All","Antwerpen",51163,"Flanders","Antwerpen",11000
"90+","All","Antwerpen",11227,"Flanders","Antwerpen",11000
"All","All","Antwerpen",1057736,"Flanders","Antwerpen",11000
"0-9","F","Arlon",3540,"Wallonia","Luxembourg",81000
"10-19","F","Arlon",3847,"Wallonia","Luxembourg",81000
"20-29","F","Arlon",3965,"Wallonia","Luxembourg",81000
"30-39","F","Arlon",4227,"Wallonia","Luxembourg",81000
"40-49","F","Arlon",4432,"Wallonia","Luxembourg",81000
"50-59","F","Arlon",4242,"Wallonia","Luxembourg",81000
"60-69","F","Arlon",3119,"Wallonia","Luxembourg",81000
"70-79","F","Arlon",2254,"Wallonia","Luxembourg",81000
"80-89","F","Arlon",1547,"Wallonia","Luxembourg",81000
"90+","F","Arlon",434,"Wallonia","Luxembourg",81000
"All","F","Arlon",31607,"Wallonia","Luxembourg",81000
"0-9","M","Arlon",3614,"Wallonia","Luxembourg",81000
"10-19","M","Arlon",4073,"Wallonia","Luxembourg",81000
"20-29","M","Arlon",4345,"Wallonia","Luxembourg",81000
"30-39","M","Arlon",4430,"Wallonia","Luxembourg",81000
"40-49","M","Arlon",4777,"Wallonia","Luxembourg",81000
"50-59","M","Arlon",4268,"Wallonia","Luxembourg",81000
"60-69","M","Arlon",2974,"Wallonia","Luxembourg",81000
"70-79","M","Arlon",1820,"Wallonia","Luxembourg",81000
"80-89","M","Arlon",941,"Wallonia","Luxembourg",81000
"90+","M","Arlon",147,"Wallonia","Luxembourg",81000
"All","M","Arlon",31389,"Wallonia","Luxembourg",81000
"0-9","All","Arlon",7154,"Wallonia","Luxembourg",81000
"10-19","All","Arlon",7920,"Wallonia","Luxembourg",81000
"20-29","All","Arlon",8310,"Wallonia","Luxembourg",81000
"30-39","All","Arlon",8657,"Wallonia","Luxembourg",81000
"40-49","All","Arlon",9209,"Wallonia","Luxembourg",81000
"50-59","All","Arlon",8510,"Wallonia","Luxembourg",81000
"60-69","All","Arlon",6093,"Wallonia","Luxembourg",81000
"70-79","All","Arlon",4074,"Wallonia","Luxembourg",81000
"80-89","All","Arlon",2488,"Wallonia","Luxembourg",81000
"90+","All","Arlon",581,"Wallonia","Luxembourg",81000
"All","All","Arlon",62996,"Wallonia","Luxembourg",81000
"0-9","F","Ath",6545,"Wallonia","Hainaut",51000
"10-19","F","Ath",7706,"Wallonia","Hainaut",51000
"20-29","F","Ath",7354,"Wallonia","Hainaut",51000
"30-39","F","Ath",7699,"Wallonia","Hainaut",51000
"40-49","F","Ath",8953,"Wallonia","Hainaut",51000
"50-59","F","Ath",9185,"Wallonia","Hainaut",51000
"60-69","F","Ath",7994,"Wallonia","Hainaut",51000
"70-79","F","Ath",5694,"Wallonia","Hainaut",51000
"80-89","F","Ath",3479,"Wallonia","Hainaut",51000
"90+","F","Ath",945,"Wallonia","Hainaut",51000
"All","F","Ath",65554,"Wallonia","Hainaut",51000
"0-9","M","Ath",6840,"Wallonia","Hainaut",51000
"10-19","M","Ath",8020,"Wallonia","Hainaut",51000
"20-29","M","Ath",7585,"Wallonia","Hainaut",51000
"30-39","M","Ath",7730,"Wallonia","Hainaut",51000
"40-49","M","Ath",8805,"Wallonia","Hainaut",51000
"50-59","M","Ath",9577,"Wallonia","Hainaut",51000
"60-69","M","Ath",7498,"Wallonia","Hainaut",51000
"70-79","M","Ath",4581,"Wallonia","Hainaut",51000
"80-89","M","Ath",1954,"Wallonia","Hainaut",51000
"90+","M","Ath",324,"Wallonia","Hainaut",51000
"All","M","Ath",62914,"Wallonia","Hainaut",51000
"0-9","All","Ath",13385,"Wallonia","Hainaut",51000
