"AGEGROUP","SEX","MUNTY","POPULATION","REGION","PROVINCE","DISTRICT","CD_REFNIS"
"0-9","F","Aalst (Aalst)",4686,"Flanders","Oost-Vlaanderen","Aalst",41002
"10-19","F","Aalst (Aalst)",4596,"Flanders","Oost-Vlaanderen","Aalst",41002
"20-29","F","Aalst (Aalst)",4918,"Flanders","Oost-Vlaanderen","Aalst",41002
"30-39","F","Aalst (Aalst)",5726,"Flanders","Oost-Vlaanderen","Aalst",41002
"40-49","F","Aalst (Aalst)",5541,"Flanders","Oost-Vlaanderen","Aalst",41002
"50-59","F","Aalst (Aalst)",6258,"Flanders","Oost-Vlaanderen","Aalst",41002
"60-69","F","Aalst (Aalst)",5303,"Flanders","Oost-Vlaanderen","Aalst",41002
"70-79","F","Aalst (Aalst)",3820,"Flanders","Oost-Vlaanderen","Aalst",41002
"80-89","F","Aalst (Aalst)",2906,"Flanders","Oost-Vlaanderen","Aalst",41002
"90+","F","Aalst (Aalst)",675,"Flanders","Oost-Vlaanderen","Aalst",41002
"All","F","Aalst (Aalst)",44429,"Flanders","Oost-Vlaanderen","Aalst",41002
"0-9","M","Aalst (Aalst)",4848,"Flanders","Oost-Vlaanderen","Aalst",41002
"10-19","M","Aalst (Aalst)",4776,"Flanders","Oost-Vlaanderen","Aalst",41002
"20-29","M","Aalst (Aalst)",5083,"Flanders","Oost-Vlaanderen","Aalst",41002
"30-39","M","Aalst (Aalst)",5685,"Flanders","Oost-Vlaanderen","Aalst",41002
"40-49","M","Aalst (Aalst)",5730,"Flanders","Oost-Vlaanderen","Aalst",41002
"50-59","M","Aalst (Aalst)",6327,"Flanders","Oost-Vlaanderen","Aalst",41002
"60-69","M","Aalst (Aalst)",5206,"Flanders","Oost-Vlaanderen","Aalst",41002
"70-79","M","Aalst (Aalst)",3235,"Flanders","Oost-Vlaanderen","Aalst",41002
"80-89","M","Aalst (Aalst)",1754,"Flanders","Oost-Vlaanderen","Aalst",41002
"90+","M","Aalst (Aalst)",259,"Flanders","Oost-Vlaanderen","Aalst",41002
"All","M","Aalst (Aalst)",42903,"Flanders","Oost-Vlaanderen","Aalst",41002
"0-9","All","Aalst (Aalst)",9534,"Flanders","Oost-Vlaanderen","Aalst",41002
"10-19","All","Aalst (Aalst)",9372,"Flanders","Oost-Vlaanderen","Aalst",41002
"20-29","All","Aalst (Aalst)",10001,"Flanders","Oost-Vlaanderen","Aalst",41002
"30-39","All","Aalst (Aalst)",11411,"Flanders","Oost-Vlaanderen","Aalst",41002
"40-49","All","Aalst (Aalst)",11271,"Flanders","Oost-Vlaanderen","Aalst",41002
"50-59","All","Aalst (Aalst)",12585,"Flanders","Oost-Vlaanderen","Aalst",41002
"60-69","All","Aalst (Aalst)",10509,"Flanders","Oost-Vlaanderen","Aalst",41002
"70-79","All","Aalst (Aalst)",7055,"Flanders","Oost-Vlaanderen","Aalst",41002
"80-89","All","Aalst (Aalst)",4660,"Flanders","Oost-Vlaanderen","Aalst",41002
"90+","All","Aalst (Aalst)",934,"Flanders","Oost-Vlaanderen","Aalst",41002
"All","All","Aalst (Aalst)",87332,"Flanders","Oost-Vlaanderen","Aalst",41002
"0-9","F","Aalter",1378,"Flanders","Oost-Vlaanderen","Gent",44084
"10-19","F","Aalter",1511,"Flanders","Oost-Vlaanderen","Gent",44084
"20-29","F","Aalter",1652,"Flanders","Oost-Vlaanderen","Gent",44084
"30-39","F","Aalter",1665,"Flanders","Oost-Vlaanderen","Gent",44084
"40-49","F","Aalter",1958,"Flanders","Oost-Vlaanderen","Gent",44084
"50-59","F","Aalter",2104,"Flanders","Oost-Vlaanderen","Gent",44084
"60-69","F","Aalter",1719,"Flanders","Oost-Vlaanderen","Gent",44084
"70-79","F","Aalter",1380,"Flanders","Oost-Vlaanderen","Gent",44084
"80-89","F","Aalter",937,"Flanders","Oost-Vlaanderen","Gent",44084
"90+","F","Aalter",264,"Flanders","Oost-Vlaanderen","Gent",44084
"All","F","Aalter",14568,"Flanders","Oost-Vlaanderen","Gent",44084
"0-9","M","Aalter",1418,"Flanders","Oost-Vlaanderen","Gent",44084
"10-19","M","Aalter",1671,"Flanders","Oost-Vlaanderen","Gent",44084
"20-29","M","Aalter",1755,"Flanders","Oost-Vlaanderen","Gent",44084
"30-39","M","Aalter",1780,"Flanders","Oost-Vlaanderen","Gent",44084
"40-49","M","Aalter",1953,"Flanders","Oost-Vlaanderen","Gent",44084
"50-59","M","Aalter",2205,"Flanders","Oost-Vlaanderen","Gent",44084
"60-69","M","Aalter",1747,"Flanders","Oost-Vlaanderen","Gent",44084
"70-79","M","Aalter",1312,"Flanders","Oost-Vlaanderen","Gent",44084
"80-89","M","Aalter",671,"Flanders","Oost-Vlaanderen","Gent",44084
"90+","M","Aalter",102,"Flanders","Oost-Vlaanderen","Gent",44084
"All","M","Aalter",14614,"Flanders","Oost-Vlaanderen","Gent",44084
"0-9","All","Aalter",2796,"Flanders","Oost-Vlaanderen","Gent",44084
"10-19","All","Aalter",3182,"Flanders","Oost-Vlaanderen","Gent",44084
"20-29","All","Aalter",3407,"Flanders","Oost-Vlaanderen","Gent",44084
"30-39","All","Aalter",3445,"Flanders","Oost-Vlaanderen","Gent",44084
"40-49","All","Aalter",3911,"Flanders","Oost-Vlaanderen","Gent",44084
"50-59","All","Aalter",4309,"Flanders","Oost-Vlaanderen","Gent",44084
"60-69","All","Aalter",3466,"Flanders","Oost-Vlaanderen","Gent",44084
"70-79","All","Aalter",2692,"Flanders","Oost-Vlaanderen","Gent",44084
"80-89","All","Aalter",1608,"Flanders","Oost-Vlaanderen","Gent",44084
"90+","All","Aalter",366,"Flanders","Oost-Vlaanderen","Gent",44084
"All","All","Aalter",29182,"Flanders","Oost-Vlaanderen","Gent",44084
"0-9","F","Aarschot",1376,"Flanders","Vlaams-Brabant","Leuven",24001
"10-19","F","Aarschot",1412,"Flanders","Vlaams-Brabant","Leuven",24001
"20-29","F","Aarschot",1683,"Flanders","Vlaams-Brabant","Leuven",24001
"30-39","F","Aarschot",1891,"Flanders","Vlaams-Brabant","Leuven",24001
"40-49","F","Aarschot",1910,"Flanders","Vlaams-Brabant","Leuven",24001
"50-59","F","Aarschot",2305,"Flanders","Vlaams-Brabant","Leuven",24001
"60-69","F","Aarschot",1967,"Flanders","Vlaams-Brabant","Leuven",24001
"70-79","F","Aarschot",1518,"Flanders","Vlaams-Brabant","Leuven",24001
"80-89","F","Aarschot",1094,"Flanders","Vlaams-Brabant","Leuven",24001
"90+","F","Aarschot",259,"Flanders","Vlaams-Brabant","Leuven",24001
"All","F","Aarschot",15415,"Flanders","Vlaams-Brabant","Leuven",24001
"0-9","M","Aarschot",1385,"Flanders","Vlaams-Brabant","Leuven",24001
"10-19","M","Aarschot",1384,"Flanders","Vlaams-Brabant","Leuven",24001
"20-29","M","Aarschot",1700,"Flanders","Vlaams-Brabant","Leuven",24001
"30-39","M","Aarschot",1920,"Flanders","Vlaams-Brabant","Leuven",24001
"40-49","M","Aarschot",1941,"Flanders","Vlaams-Brabant","Leuven",24001
"50-59","M","Aarschot",2332,"Flanders","Vlaams-Brabant","Leuven",24001
"60-69","M","Aarschot",1906,"Flanders","Vlaams-Brabant","Leuven",24001
"70-79","M","Aarschot",1369,"Flanders","Vlaams-Brabant","Leuven",24001
"80-89","M","Aarschot",719,"Flanders","Vlaams-Brabant","Leuven",24001
"90+","M","Aarschot",112,"Flanders","Vlaams-Brabant","Leuven",24001
"All","M","Aarschot",14768,"Flanders","Vlaams-Brabant","Leuven",24001
"0-9","All","Aarschot",2761,"Flanders","Vlaams-Brabant","Leuven",24001
"10-19","All","Aarschot",2796,"Flanders","Vlaams-Brabant","Leuven",24001
"20-29","All","Aarschot",3383,"Flanders","Vlaams-Brabant","Leuven",24001
"30-39","All","Aarschot",3811,"Flanders","Vlaams-Brabant","Leuven",24001
"40-49","All","Aarschot",3851,"Flanders","Vlaams-Brabant","Leuven",24001
"50-59","All","Aarschot",4637,"Flanders","Vlaams-Brabant","Leuven",24001
"60-69","All","Aarschot",3873,"Flanders","Vlaams-Brabant","Leuven",24001
"70-79","All","Aarschot",2887,"Flanders","Vlaams-Brabant","Leuven",24001
"80-89","All","Aarschot",1813,"Flanders","Vlaams-Brabant","Leuven",24001
"90+","All","Aarschot",371,"Flanders","Vlaams-Brabant","Leuven",24001
"All","All","Aarschot",30183,"Flanders","Vlaams-Brabant","Leuven",24001
"0-9","F","Aartselaar",634,"Flanders","Antwerpen","Antwerpen",11001
"10-19","F","Aartselaar",733,"Flanders","Antwerpen","Antwerpen",11001
"20-29","F","Aartselaar",679,"Flanders","Antwerpen","Antwerpen",11001
"30-39","F","Aartselaar",803,"Flanders","Antwerpen","Antwerpen",11001
"40-49","F","Aartselaar",868,"Flanders","Antwerpen","Antwerpen",11001
"50-59","F","Aartselaar",1076,"Flanders","Antwerpen","Antwerpen",11001
"60-69","F","Aartselaar",1003,"Flanders","Antwerpen","Antwerpen",11001
"70-79","F","Aartselaar",874,"Flanders","Antwerpen","Antwerpen",11001
"80-89","F","Aartselaar",481,"Flanders","Antwerpen","Antwerpen",11001
"90+","F","Aartselaar",123,"Flanders","Antwerpen","Antwerpen",11001
"All","F","Aartselaar",7274,"Flanders","Antwerpen","Antwerpen",11001
"0-9","M","Aartselaar",711,"Flanders","Antwerpen","Antwerpen",11001
"10-19","M","Aartselaar",787,"Flanders","Antwerpen","Antwerpen",11001
"20-29","M","Aartselaar",755,"Flanders","Antwerpen","Antwerpen",11001
"30-39","M","Aartselaar",772,"Flanders","Antwerpen","Antwerpen",11001
"40-49","M","Aartselaar",875,"Flanders","Antwerpen","Antwerpen",11001
"50-59","M","Aartselaar",1116,"Flanders","Antwerpen","Antwerpen",11001
"60-69","M","Aartselaar",906,"Flanders","Antwerpen","Antwerpen",11001
"70-79","M","Aartselaar",799,"Flanders","Antwerpen","Antwerpen",11001
"80-89","M","Aartselaar",388,"Flanders","Antwerpen","Antwerpen",11001
"90+","M","Aartselaar",44,"Flanders","Antwerpen","Antwerpen",11001
"All","M","Aartselaar",7153,"Flanders","Antwerpen","Antwerpen",11001
"0-9","All","Aartselaar",1345,"Flanders","Antwerpen","Antwerpen",11001
"10-19","All","Aartselaar",1520,"Flanders","Antwerpen","Antwerpen",11001
"20-29","All","Aartselaar",1434,"Flanders","Antwerpen","Antwerpen",11001
"30-39","All","Aartselaar",1575,"Flanders","Antwerpen","Antwerpen",11001
"40-49","All","Aartselaar",1743,"Flanders","Antwerpen","Antwerpen",11001
"50-59","All","Aartselaar",2192,"Flanders","Antwerpen","Antwerpen",11001
"60-69","All","Aartselaar",1909,"Flanders","Antwerpen","Antwerpen",11001
"70-79","All","Aartselaar",1673,"Flanders","Antwerpen","Antwerpen",11001
"80-89","All","Aartselaar",869,"Flanders","Antwerpen","Antwerpen",11001
"90+","All","Aartselaar",167,"Flanders","Antwerpen","Antwerpen",11001
"All","All","Aartselaar",14427,"Flanders","Antwerpen","Antwerpen",11001
"0-9","F","Affligem",773,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"10-19","F","Affligem",799,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
"20-29","F","Affligem",663,"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23105
