"AGEGROUP","SEX","PROVINCE","POPULATION","REGION","CD_PROV_REFNIS"
"0-9","F","Antwerpen",102982,"Flanders",10000
"10-19","F","Antwerpen",100061,"Flanders",10000
"20-29","F","Antwerpen",111832,"Flanders",10000
"30-39","F","Antwerpen",122291,"Flanders",10000
"40-49","F","Antwerpen",117259,"Flanders",10000
"50-59","F","Antwerpen",128893,"Flanders",10000
"60-69","F","Antwerpen",110789,"Flanders",10000
"70-79","F","Antwerpen",80704,"Flanders",10000
"80-89","F","Antwerpen",53978,"Flanders",10000
"90+","F","Antwerpen",13168,"Flanders",10000
"All","F","Antwerpen",941957,"Flanders",10000
"0-9","M","Antwerpen",107418,"Flanders",10000
"10-19","M","Antwerpen",105717,"Flanders",10000
"20-29","M","Antwerpen",113591,"Flanders",10000
"30-39","M","Antwerpen",122336,"Flanders",10000
"40-49","M","Antwerpen",119812,"Flanders",10000
"50-59","M","Antwerpen",132931,"Flanders",10000
"60-69","M","Antwerpen",109867,"Flanders",10000
"70-79","M","Antwerpen",72665,"Flanders",10000
"80-89","M","Antwerpen",37627,"Flanders",10000
"90+","M","Antwerpen",5809,"Flanders",10000
"All","M","Antwerpen",927773,"Flanders",10000
"0-9","All","Antwerpen",210400,"Flanders",10000
"10-19","All","Antwerpen",205778,"Flanders",10000
"20-29","All","Antwerpen",225423,"Flanders",10000
"30-39","All","Antwerpen",244627,"Flanders",10000
"40-49","All","Antwerpen",237071,"Flanders",10000
"50-59","All","Antwerpen",261824,"Flanders",10000
"60-69","All","Antwerpen",220656,"Flanders",10000
"70-79","All","Antwerpen",153369,"Flanders",10000
"80-89","All","Antwerpen",91605,"Flanders",10000
"90+","All","Antwerpen",18977,"Flanders",10000
"All","All","Antwerpen",1869730,"Flanders",10000
"0-9","F","BrabantWallon",21265,NA,NA
"10-19","F","BrabantWallon",24420,NA,NA
"20-29","F","BrabantWallon",23819,NA,NA
"30-39","F","BrabantWallon",24572,NA,NA
"40-49","F","BrabantWallon",27948,NA,NA
"50-59","F","BrabantWallon",29056,NA,NA
"60-69","F","BrabantWallon",25374,NA,NA
"70-79","F","BrabantWallon",18614,NA,NA
"80-89","F","BrabantWallon",10911,NA,NA
"90+","F","BrabantWallon",3006,NA,NA
"All","F","BrabantWallon",208985,NA,NA
"0-9","M","BrabantWallon",22092,NA,NA
"10-19","M","BrabantWallon",25797,NA,NA
"20-29","M","BrabantWallon",24858,NA,NA
"30-39","M","BrabantWallon",23850,NA,NA
"40-49","M","BrabantWallon",26343,NA,NA
"50-59","M","BrabantWallon",27817,NA,NA
"60-69","M","BrabantWallon",22716,NA,NA
"70-79","M","BrabantWallon",15328,NA,NA
"80-89","M","BrabantWallon",7062,NA,NA
"90+","M","BrabantWallon",1171,NA,NA
"All","M","BrabantWallon",197034,NA,NA
"0-9","All","BrabantWallon",43357,NA,NA
"10-19","All","BrabantWallon",50217,NA,NA
"20-29","All","BrabantWallon",48677,NA,NA
"30-39","All","BrabantWallon",48422,NA,NA
"40-49","All","BrabantWallon",54291,NA,NA
"50-59","All","BrabantWallon",56873,NA,NA
"60-69","All","BrabantWallon",48090,NA,NA
"70-79","All","BrabantWallon",33942,NA,NA
"80-89","All","BrabantWallon",17973,NA,NA
"90+","All","BrabantWallon",4177,NA,NA
"All","All","BrabantWallon",406019,NA,NA
"0-9","F","Brussel",80026,"Brussels",NA
"10-19","F","Brussel",68716,"Brussels",NA
"20-29","F","Brussel",93565,"Brussels",NA
"30-39","F","Brussel",100893,"Brussels",NA
"40-49","F","Brussel",83834,"Brussels",NA
"50-59","F","Brussel",69965,"Brussels",NA
"60-69","F","Brussel",53482,"Brussels",NA
"70-79","F","Brussel",37534,"Brussels",NA
"80-89","F","Brussel",24627,"Brussels",NA
"90+","F","Brussel",7907,"Brussels",NA
"All","F","Brussel",620549,"Brussels",NA
"0-9","M","Brussel",83715,"Brussels",NA
"10-19","M","Brussel",71746,"Brussels",NA
"20-29","M","Brussel",88375,"Brussels",NA
"30-39","M","Brussel",99190,"Brussels",NA
"40-49","M","Brussel",89943,"Brussels",NA
"50-59","M","Brussel",72909,"Brussels",NA
"60-69","M","Brussel",47259,"Brussels",NA
"70-79","M","Brussel",27919,"Brussels",NA
"80-89","M","Brussel",13935,"Brussels",NA
"90+","M","Brussel",2715,"Brussels",NA
"All","M","Brussel",597706,"Brussels",NA
"0-9","All","Brussel",163741,"Brussels",NA
"10-19","All","Brussel",140462,"Brussels",NA
"20-29","All","Brussel",181940,"Brussels",NA
"30-39","All","Brussel",200083,"Brussels",NA
"40-49","All","Brussel",173777,"Brussels",NA
"50-59","All","Brussel",142874,"Brussels",NA
"60-69","All","Brussel",100741,"Brussels",NA
"70-79","All","Brussel",65453,"Brussels",NA
"80-89","All","Brussel",38562,"Brussels",NA
"90+","All","Brussel",10622,"Brussels",NA
"All","All","Brussel",1218255,"Brussels",NA
"0-9","F","Hainaut",72303,"Wallonia",50000
"10-19","F","Hainaut",79302,"Wallonia",50000
"20-29","F","Hainaut",79771,"Wallonia",50000
"30-39","F","Hainaut",84439,"Wallonia",50000
"40-49","F","Hainaut",89247,"Wallonia",50000
"50-59","F","Hainaut",92824,"Wallonia",50000
"60-69","F","Hainaut",86120,"Wallonia",50000
"70-79","F","Hainaut",59972,"Wallonia",50000
"80-89","F","Hainaut",36723,"Wallonia",50000
"90+","F","Hainaut",10415,"Wallonia",50000
"All","F","Hainaut",691116,"Wallonia",50000
"0-9","M","Hainaut",76153,"Wallonia",50000
"10-19","M","Hainaut",83174,"Wallonia",50000
"20-29","M","Hainaut",82024,"Wallonia",50000
"30-39","M","Hainaut",84664,"Wallonia",50000
"40-49","M","Hainaut",90075,"Wallonia",50000
"50-59","M","Hainaut",91427,"Wallonia",50000
"60-69","M","Hainaut",77367,"Wallonia",50000
"70-79","M","Hainaut",47664,"Wallonia",50000
