"AGEGROUP","SEX","REGION","POPULATION"
"0-9","F","Brussels",80026
"10-19","F","Brussels",68716
"20-29","F","Brussels",93565
"30-39","F","Brussels",100893
"40-49","F","Brussels",83834
"50-59","F","Brussels",69965
"60-69","F","Brussels",53482
"70-79","F","Brussels",37534
"80-89","F","Brussels",24627
"90+","F","Brussels",7907
"All","F","Brussels",620549
"0-9","M","Brussels",83715
"10-19","M","Brussels",71746
"20-29","M","Brussels",88375
"30-39","M","Brussels",99190
"40-49","M","Brussels",89943
"50-59","M","Brussels",72909
"60-69","M","Brussels",47259
"70-79","M","Brussels",27919
"80-89","M","Brussels",13935
"90+","M","Brussels",2715
"All","M","Brussels",597706
"0-9","All","Brussels",163741
"10-19","All","Brussels",140462
"20-29","All","Brussels",181940
"30-39","All","Brussels",200083
"40-49","All","Brussels",173777
"50-59","All","Brussels",142874
"60-69","All","Brussels",100741
"70-79","All","Brussels",65453
"80-89","All","Brussels",38562
"90+","All","Brussels",10622
"All","All","Brussels",1218255
"0-9","F","Flanders",343998
"10-19","F","Flanders",351931
"20-29","F","Flanders",385095
"30-39","F","Flanders",415174
"40-49","F","Flanders",423103
"50-59","F","Flanders",467423
"60-69","F","Flanders",406635
"70-79","F","Flanders",300548
"80-89","F","Flanders",204681
"90+","F","Flanders",50057
"All","F","Flanders",3348645
"0-9","M","Flanders",359948
"10-19","M","Flanders",370121
"20-29","M","Flanders",395021
"30-39","M","Flanders",416192
"40-49","M","Flanders",429734
"50-59","M","Flanders",479046
"60-69","M","Flanders",401240
"70-79","M","Flanders",268823
"80-89","M","Flanders",139398
"90+","M","Flanders",20975
"All","M","Flanders",3280498
"0-9","All","Flanders",703946
"10-19","All","Flanders",722052
"20-29","All","Flanders",780116
"30-39","All","Flanders",831366
"40-49","All","Flanders",852837
"50-59","All","Flanders",946469
"60-69","All","Flanders",807875
"70-79","All","Flanders",569371
"80-89","All","Flanders",344079
"90+","All","Flanders",71032
"All","All","Flanders",6629143
"0-9","F","Wallonia",196413
"10-19","F","Wallonia",213918
"20-29","F","Wallonia",219470
"30-39","F","Wallonia",230802
"40-49","F","Wallonia",238519
"50-59","F","Wallonia",251896
"60-69","F","Wallonia",228028
"70-79","F","Wallonia",159050
"80-89","F","Wallonia",98583
"90+","F","Wallonia",26704
"All","F","Wallonia",1863383
"0-9","M","Wallonia",204968
"10-19","M","Wallonia",223822
"20-29","M","Wallonia",226119
"30-39","M","Wallonia",230039
"40-49","M","Wallonia",239406
"50-59","M","Wallonia",249389
"60-69","M","Wallonia",210495
"70-79","M","Wallonia",130417
"80-89","M","Wallonia",58166
"90+","M","Wallonia",9039
"All","M","Wallonia",1781860
"0-9","All","Wallonia",401381
"10-19","All","Wallonia",437740
"20-29","All","Wallonia",445589
"30-39","All","Wallonia",460841
"40-49","All","Wallonia",477925
"50-59","All","Wallonia",501285
"60-69","All","Wallonia",438523
"70-79","All","Wallonia",289467
"80-89","All","Wallonia",156749
"90+","All","Wallonia",35743
"All","All","Wallonia",3645243
"0-9","F","Belgium",620437
"10-19","F","Belgium",634565
"20-29","F","Belgium",698130
"30-39","F","Belgium",746869
"40-49","F","Belgium",745456
"50-59","F","Belgium",789284
"60-69","F","Belgium",688145
"70-79","F","Belgium",497132
"80-89","F","Belgium",327891
"90+","F","Belgium",84668
"All","F","Belgium",5832577
"0-9","M","Belgium",648631
"10-19","M","Belgium",665689
"20-29","M","Belgium",709515
"30-39","M","Belgium",745421
"40-49","M","Belgium",759083
"50-59","M","Belgium",801344
"60-69","M","Belgium",658994
"70-79","M","Belgium",427159
"80-89","M","Belgium",211499
"90+","M","Belgium",32729
"All","M","Belgium",5660064
"0-9","All","Belgium",1269068
"10-19","All","Belgium",1300254
"20-29","All","Belgium",1407645
"30-39","All","Belgium",1492290
"40-49","All","Belgium",1504539
"50-59","All","Belgium",1590628
"60-69","All","Belgium",1347139
"70-79","All","Belgium",924291
"80-89","All","Belgium",539390
"90+","All","Belgium",117397
"All","All","Belgium",11492641
